Name,LinkedIn URL,Headline,Company,Role,Current Job,Location,Followers,Connections,Topics,Tags,Posting Frequency,Enrichment Status,Last Enriched At
Gabriel Costa (Mineiro),https://www.linkedin.com/in/gabriel-mineiro,,Merlin,,Merlin,"São Paulo, São Paulo, Brazil",28000,500,engineering; creativity; self-improvement,,21,done,2026-03-06T11:39:58.112+00:00
Lucian Fialho,https://www.linkedin.com/in/lucianfialho,,TecMundo,,TecMundo,"São João de Meriti, Rio de Janeiro, Brazil",6000,500,tecnologia; startups; empreendedorismo,,19,done,2026-03-06T11:40:00.819+00:00
Gustavo Esteves,https://www.linkedin.com/in/estevesgea,Especialista em Marketing Analytics | CEO na Métricas Boss | Host do Analytics Talks | Autor do Livro Menos Achismo Mais Dados | Diretor de Dados e Analytics na Abradi | Vice-Presidente da Comunidade CRO Brasil,Métricas Boss,Tsubasa,Tsubasa at Métricas Boss,"Rio de Janeiro, Rio de Janeiro, Brazil",22000,500,marketing; analytics; education; leadership; data,,15,done,2026-03-06T11:40:03.222+00:00
Gustavo Stork,https://www.linkedin.com/in/gustavostork,,Marketing.chat,,Marketing.chat,"Santa Catarina, Brazil",23000,500,innovation; artificial intelligence; technology,,14,done,2026-03-06T11:40:05.967+00:00
Marcelo Park,https://www.linkedin.com/in/marcelopark,,MeetRox,,MeetRox,"São Paulo, Brazil",8000,500,marketing; sales; b2b,,15,done,2026-03-06T11:40:08.818+00:00
Thiago la Torre,https://www.linkedin.com/in/thiagolatorre,,RIES | Positioning Strategy & Consulting,,RIES | Positioning Strategy & Consulting,Brazil,10000,500,marketing; strategy; consulting,,14,done,2026-03-06T11:40:12.457+00:00
